2023-12-16 19:42:22,933 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:42:23,147 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:42:23,228 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:42:23,259 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:44:31,168 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:44:31,391 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:44:31,480 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:44:31,514 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:05,517 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:05,771 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:05,935 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:05,982 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:41,334 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:41,583 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:41,760 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:47:41,810 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:05,572 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:05,841 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:06,010 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:06,051 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:26,797 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:27,033 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:27,209 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:49:27,260 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
